time_from_start,request_per_seconds_avg,cpu_perc,replicas_no
8290,67.27840772285784,56,13
8300,68.10100716628344,56,13
8310,68.91839747726502,56,13
8320,69.7303296707956,56,13
8330,70.53655642446368,56,13
8340,71.33683215379003,56,13
8350,72.13091308703497,52,15
8360,72.91855733945386,52,15
8370,73.69952498697734,52,15
8380,74.47357813929455,52,15
8390,75.24048101231685,52,15
8400,76.0,52,15
8410,76.75190374550272,54,15
8420,77.49596321166024,54,15
8430,78.23195175075134,54,15
8440,78.95964517353734,54,15
8450,79.67882181755232,54,15
8460,80.38926261462366,54,15
8470,81.09075115760241,59,15
8480,81.78307376628291,59,15
8490,82.46601955249187,59,15
8500,83.13938048432698,59,15
8510,83.80295144952537,59,15
8520,84.4565303179429,59,15
8530,85.09991800312493,52,18
8540,85.73291852294986,52,18
8550,86.35533905932738,52,18
8560,86.96699001693256,52,18
8570,87.56768508095853,52,18
8580,88.15724127386972,52,18
8590,88.73547901113861,52,18
8600,89.3022221559489,52,18
8610,89.85729807284855,52,18
8620,90.4005376803361,52,18
8630,90.93177550236464,52,18
8640,91.45084971874738,52,18
8650,91.9576022144496,54,18
8660,92.45187862775208,54,18
8670,92.9335283972712,54,18
8680,93.4024048078213,54,18
8690,93.85836503510562,54,18
8700,94.30127018922194,54,18
8710,94.7309853569698,53,18
8720,95.14737964294635,53,18
8730,95.55032620941837,53,18
8740,95.93970231495837,53,18
8750,96.3153893518325,53,18
8760,96.67727288213004,53,18
8770,97.02524267262203,57,18
8780,97.35919272833937,57,18
8790,97.67902132486009,57,18
8800,97.98463103929541,57,18
8810,98.27592877996584,57,18
8820,98.55282581475767,57,18
8830,98.81523779815178,51,20
8840,99.06308479691594,51,20
8850,99.2962913144534,51,20
8860,99.51478631379982,51,20
8870,99.71850323926176,51,20
8880,99.90738003669028,51,20
8890,100.0813591723832,52,20
8900,100.2403876506104,52,20
8910,100.38441702975689,52,20
8920,100.51340343707854,52,20
8930,100.6273075820661,52,20
8940,100.72609476841367,52,20
8950,100.80973490458729,53,20
8960,100.87820251299121,53,20
8970,100.9314767377287,53,20
8980,100.96954135095478,53,20
8990,100.99238475781956,53,20
9000,101.0,53,20
9010,100.99238475781956,52,20
9020,100.96954135095478,52,20
9030,100.9314767377287,52,20
9040,100.87820251299121,52,20
9050,100.80973490458729,52,20
9060,100.72609476841367,52,20
9070,100.6273075820661,52,20
9080,100.51340343707854,52,20
9090,100.38441702975689,52,20
9100,100.2403876506104,52,20
9110,100.0813591723832,52,20
9120,99.90738003669028,52,20
9130,99.71850323926176,52,20
9140,99.51478631379982,52,20
9150,99.2962913144534,52,20
9160,99.06308479691594,52,20
9170,98.81523779815178,52,20
9180,98.55282581475768,52,20
9190,98.27592877996585,51,20
9200,97.98463103929544,51,20
9210,97.67902132486009,51,20
9220,97.35919272833937,51,20
9230,97.025242672622,51,20
9240,96.67727288213004,51,20
9250,96.3153893518325,52,20
9260,95.93970231495834,52,20
9270,95.55032620941837,52,20
9280,95.14737964294635,52,20
9290,94.7309853569698,52,20
9300,94.30127018922194,52,20
9310,93.85836503510562,50,20
9320,93.40240480782131,50,20
9330,92.9335283972712,50,20
9340,92.45187862775208,50,20
9350,91.9576022144496,50,20
9360,91.45084971874738,50,20
9370,90.93177550236464,45,20
9380,90.4005376803361,45,20
9390,89.85729807284855,45,20
9400,89.3022221559489,45,20
9410,88.73547901113861,45,20
9420,88.15724127386972,45,20
9430,87.56768508095853,48,20
9440,86.96699001693256,48,20
9450,86.35533905932738,48,20
9460,85.73291852294987,48,20
9470,85.09991800312494,48,20
9480,84.4565303179429,48,20
9490,83.80295144952537,46,20
9500,83.13938048432698,46,20
9510,82.46601955249189,46,20
9520,81.78307376628294,46,20
9530,81.09075115760241,46,20
9540,80.38926261462366,46,20
9550,79.67882181755232,45,20
9560,78.95964517353733,45,20
9570,78.23195175075134,45,20
9580,77.49596321166024,45,20
9590,76.75190374550272,45,20
9600,76.00000000000001,45,20
